run,bounds,benchmark,version,unit,main_median,after_median,absolute_change,change_percent,p,prior_PR_median,change_vs_prior_percent,p_vs_prior,samples_each,note
cold-signals,signals,BenchmarkCompileFullWorkers/esbuild/p4,final,B/op,181469728,163384408,-18085320,-9.966025848674887,0.0021645021645021645,183097420,-10.76640621151298,0.0021645021645021645,6,"One timed operation; memory check, not a timing claim."
cold-signals,signals,BenchmarkCompileFullWorkers/esbuild/p4,before,allocs/op,27402,28144.5,742.5,2.7096562294723014,0.3939393939393939,,,,6,"One timed operation; memory check, not a timing claim."
cold-signals,signals,BenchmarkCompileFullWorkers/esbuild/p4,final,allocs/op,27402,25283,-2119,-7.733012188891319,0.0021645021645021645,28144.5,-10.16717298228783,0.0021645021645021645,6,"One timed operation; memory check, not a timing claim."
cold-signals,signals,BenchmarkCompileFullWorkers/esbuild/auto,before,ns/op,399993921.5,180035580.5,-219958341,-54.99042089818358,0.0021645021645021645,,,,6,"One timed operation; memory check, not a timing claim."
cold-signals,signals,BenchmarkCompileFullWorkers/esbuild/auto,final,ns/op,399993921.5,183305153.5,-216688768,-54.17301522668263,0.0021645021645021645,180035580.5,1.8160704628049862,0.04112554112554113,6,"One timed operation; memory check, not a timing claim."
cold-signals,signals,BenchmarkCompileFullWorkers/esbuild/auto,before,code-B,20163867,20163867,0,0,1,,,,6,"One timed operation; memory check, not a timing claim."
cold-signals,signals,BenchmarkCompileFullWorkers/esbuild/auto,final,code-B,20163867,20163867,0,0,1,20163867,0,1,6,"One timed operation; memory check, not a timing claim."
cold-signals,signals,BenchmarkCompileFullWorkers/esbuild/auto,before,B/op,180199736,182286380,2086644,1.1579617408540521,0.17965367965367965,,,,6,"One timed operation; memory check, not a timing claim."
cold-signals,signals,BenchmarkCompileFullWorkers/esbuild/auto,final,B/op,180199736,161709504,-18490232,-10.260965088206342,0.0021645021645021645,182286380,-11.288213633953347,0.0021645021645021645,6,"One timed operation; memory check, not a timing claim."
cold-signals,signals,BenchmarkCompileFullWorkers/esbuild/auto,before,allocs/op,27451.5,27358,-93.5,-0.3406006957725416,0.9372294372294372,,,,6,"One timed operation; memory check, not a timing claim."
cold-signals,signals,BenchmarkCompileFullWorkers/esbuild/auto,final,allocs/op,27451.5,24435.5,-3016,-10.986649181283358,0.0021645021645021645,27358,-10.682432926383512,0.0021645021645021645,6,"One timed operation; memory check, not a timing claim."
cold-signals,signals,BenchmarkCompileFullWorkers/sqlite3/p2,before,ns/op,70669564.5,39513818.5,-31155746,-44.086511952397835,0.0021645021645021645,,,,6,"One timed operation; memory check, not a timing claim."
