bounds	benchmark	unit	base_median	candidate_median	delta_percent	p	base_n	candidate_n	status
explicit	BenchmarkCompileCompact/float	ns/op	37340	33140.5	-11.246652383502942	0.09307359307359307	6	6	paired
explicit	BenchmarkCompileCompact/float	B/op	28048	13968	-50.19965772960639	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCompact/float	allocs/op	41	41	0	1	6	6	paired
explicit	BenchmarkCompileCompact/memory	ns/op	40564.5	41058	1.2165810006286248	1	6	6	paired
explicit	BenchmarkCompileCompact/memory	B/op	13584	13477.5	-0.7840106007067082	0.8333333333333334	6	6	paired
explicit	BenchmarkCompileCompact/memory	allocs/op	34	34	0	1	6	6	paired
explicit	BenchmarkCompileCompact/memory_tree	ns/op	51785.5	51182	-1.1653841326239922	0.30952380952380953	6	6	paired
explicit	BenchmarkCompileCompact/memory_tree	B/op	28743	18652.5	-35.105938837282125	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCompact/memory_tree	allocs/op	51	51	0	1	6	6	paired
explicit	BenchmarkCompileCompact/globals	ns/op	40158.5	40516	0.8902224933700298	0.9372294372294372	6	6	paired
explicit	BenchmarkCompileCompact/globals	B/op	13635	12728	-6.651998533186654	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCompact/globals	allocs/op	37	36	-2.7027027027026973	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCompact/dispatch	ns/op	45875.5	47742.5	4.069710411875627	0.3939393939393939	6	6	paired
explicit	BenchmarkCompileCompact/dispatch	B/op	11296	11280	-0.14164305949008194	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCompact/dispatch	allocs/op	43	43	0	1	6	6	paired
explicit	BenchmarkCompileCompact/branches	ns/op	31208.5	35724.5	14.470416713395394	0.09307359307359307	6	6	paired
explicit	BenchmarkCompileCompact/branches	B/op	13240	12600	-4.8338368580060465	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCompact/branches	allocs/op	25	25	0	1	6	6	paired
explicit	BenchmarkCompileCompact/many_funcs	ns/op	443256.5	422400.5	-4.7051763482317766	0.3939393939393939	6	6	paired
explicit	BenchmarkCompileCompact/many_funcs	B/op	53216	52960	-0.48105832832230355	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCompact/many_funcs	allocs/op	39	39	0	1	6	6	paired
explicit	BenchmarkCompileCompact/linked_list	ns/op	39527.5	42960.5	8.68509265701094	0.008658008658008658	6	6	paired
